period,layer,month,gross_ret,net_ret,total_cost
selection,smoothed_top5_20bp,202403,0.12107500990975795,0.1001528070151787,0.018829262044441474
selection,smoothed_top5_20bp,202404,0.07024888096721349,0.051048099983032724,0.0180929723509898
selection,smoothed_top5_20bp,202405,-0.04527871824247198,-0.06197905510375301,0.017637055657069068
selection,smoothed_top5_20bp,202406,-0.04677379939992454,-0.06198513488281354,0.01607900225688292
selection,smoothed_top5_20bp,202407,-0.030637410603582493,-0.0495331691985017,0.01967587789688391
selection,smoothed_top5_20bp,202408,-0.0008770991281153995,-0.01879538090912558,0.0180879798428653
selection,smoothed_top5_20bp,202409,0.20067678854330162,0.17872652273083411,0.0184406300920151
selection,smoothed_top5_20bp,202410,0.05907430402605329,0.04175062894441384,0.01648336691380327
selection,smoothed_top5_20bp,202411,0.10198821751656317,0.08438647294224721,0.016093899152562846
selection,smoothed_top5_20bp,202412,0.0359432796856165,0.025962974176888753,0.009677187710039531
selection,smoothed_top5_20bp,202501,0.046603982060002824,0.03274924358444231,0.01331932865526457
selection,smoothed_top5_20bp,202502,0.13613558361523692,0.11622998811708563,0.017665745153913958
selection,smoothed_top5_20bp,202503,0.007744888493535607,-0.010283052011641924,0.018040343933797956
selection,smoothed_top5_20bp,202504,0.11171988065067562,0.0957411905523271,0.014469035545105568
selection,smoothed_top5_20bp,202505,0.09951445184063057,0.08503992607966082,0.013245692307924757
selection,smoothed_top5_20bp,202506,0.02035558723248565,0.004903063580856681,0.015252697331123374
selection,smoothed_top5_20bp,202507,0.041108816697756456,0.026580114282627187,0.014047284834979835
selection,smoothed_top5_20bp,202508,0.05527098596697111,0.041777539316507184,0.012864004858814778
selection,smoothed_top5_20bp,202509,-0.0272321592554442,-0.03965085366384147,0.01284099405182903
selection,smoothed_top5_20bp,202510,0.030427399921684195,0.020953397527762263,0.009232511184745466
selection,smoothed_top5_20bp,202511,-0.02414698033755669,-0.03391096783901204,0.010051562845026375
selection,smoothed_top5_20bp,202512,0.03436817918493751,0.015003563283187749,0.018888772821915322
observation,smoothed_top5_20bp,202601,0.06082573873971353,0.04601753720628854,0.014051601865280596
observation,smoothed_top5_20bp,202602,-0.0010841898193473254,-0.012257475145500907,0.011242322540110924
observation,smoothed_top5_20bp,202603,0.02890764572915616,0.01493091058212559,0.013670402020103996
observation,smoothed_top5_20bp,202604,0.10704825527373418,0.08759601686202068,0.017717956048077077
observation,smoothed_top5_20bp,202605,-0.04109483706424133,-0.05523281685142556,0.01484633183829728
observation,smoothed_top5_20bp,202606,-0.12912331685301437,-0.1427518982102044,0.01576593258085847
observation,smoothed_top5_20bp,202607,-0.10370442909820088,-0.12195169167277686,0.02055658546868784
observation,smoothed_top5_20bp,202608,0.06906216989839198,0.06350132119856533,0.0052122157338510555
development,simple_product_20bp,201801,0.0012247694590972191,-0.0032076004292864724,0.004435205438928302
development,simple_product_20bp,201802,-0.02196820771298913,-0.022928121483821617,0.000981707700970869
development,simple_product_20bp,201803,-0.005835513390787472,-0.007427237754962901,0.0016019095612985943
development,simple_product_20bp,201804,0.013991881737851264,0.012136923854046966,0.0018306511179003956
development,simple_product_20bp,201805,-0.016305809010565997,-0.02251778932485138,0.006332722758608211
development,simple_product_20bp,201806,-0.0351086645129457,-0.03824361306395241,0.003253569574694586
development,simple_product_20bp,201807,-0.0045072142972079066,-0.005718060554716575,0.0012167830205971307
development,simple_product_20bp,201808,-0.04414716373147687,-0.04724000486534152,0.0032403241349299007
development,simple_product_20bp,201809,0.02969136675390338,0.027762487339129116,0.0018747808320688695
development,simple_product_20bp,201810,-0.028177706962313365,-0.029570589490341748,0.0014339884150375427
development,simple_product_20bp,201811,-0.010681121209378586,-0.012442738625963345,0.0017816943091039468
development,simple_product_20bp,201812,0.018741938662533597,0.0168780125894199,0.0018308400970191046
development,simple_product_20bp,201901,0.015902823539083455,0.01316499260106796,0.0026982546859319594
development,simple_product_20bp,201902,0.0726445828736304,0.0688751547593347,0.003519553977228724
development,simple_product_20bp,201903,0.06660124571943449,0.059283670727513726,0.006882328410834564
development,simple_product_20bp,201904,-0.018373099052102937,-0.025076203117492035,0.006849955685888512
development,simple_product_20bp,201905,-0.007360759871292255,-0.013298008632962932,0.005997896869506017
development,simple_product_20bp,201906,0.01114928705515017,0.008300390251988699,0.002820814511264149
development,simple_product_20bp,201907,-0.0006472668101096257,-0.003272539181365608,0.0026298821748324042
development,simple_product_20bp,201908,0.018327370626692208,0.015182652854153877,0.0030923744144237928
development,simple_product_20bp,201909,-0.027000972975617432,-0.03163891187488366,0.004776495396664494
development,simple_product_20bp,201910,0.013361812096478243,0.011694521379499445,0.001646491929034384
development,simple_product_20bp,201911,-0.02009731196373632,-0.02544138961522502,0.005466415153652366
development,simple_product_20bp,201912,0.023963159153052915,0.0218740469564358,0.0020420975446729397
development,simple_product_20bp,202001,0.026301551977387705,0.021791739987050418,0.0044029427143568774
development,simple_product_20bp,202002,-0.029898368984359935,-0.035510634783537,0.005799189458470032
development,simple_product_20bp,202003,-0.03759057716091807,-0.04192960879944907,0.004516506793962892
development,simple_product_20bp,202004,0.013838844179536958,0.011150100226569037,0.0026550491153330613
development,simple_product_20bp,202005,0.012390922146705341,0.010989832341304462,0.001384738833466771
development,simple_product_20bp,202006,0.029230729920330267,0.025966187410726205,0.003176085897993487
development,simple_product_20bp,202007,0.13412509700621444,0.12816261867075895,0.005269305589234662
