strategy_id,universe,score_name,top_k,rebalance_days,hold_days,val_days,val_total_ret,val_ann_ret,val_ann_vol,val_sharpe,val_max_drawdown,val_win_rate,val_bench_ann_ret,val_excess_ann_ret,val_excess_sharpe,val_avg_turnover,val_rebalance_count,observation_days,observation_total_ret,observation_ann_ret,observation_ann_vol,observation_sharpe,observation_max_drawdown,observation_win_rate,observation_bench_ann_ret,observation_excess_ann_ret,observation_excess_sharpe,observation_avg_turnover,observation_rebalance_count
industry_concept__score_breakout__top20__rb10,industry_concept,score_breakout,20,10,10,483,0.11824016721186137,0.06004097930832297,0.30028723149736847,0.3406479220100104,-0.3124698211026894,0.505175983436853,0.18784006684587706,-0.12376299023566084,-0.7147043143367826,0.8827155497833625,49,93,0.24524435461887428,0.811795549883493,0.2963969191737072,2.1554521285477612,-0.12618674270327912,0.5161290322580645,0.05468683869726565,0.7099995299072317,2.381199951746663,0.806018245182526,10
tradable_theme__score_risk_adj__top20__rb10,tradable_theme,score_risk_adj,20,10,10,483,0.11607570269124623,0.058969971564089674,0.2928346313824306,0.338516669368633,-0.2942971481158636,0.515527950310559,0.19005875999688016,-0.12692107641189276,-0.7734013745159569,0.9317189366632415,49,93,0.14408822182450542,0.44014568258699627,0.25817567173540096,1.5433418539825194,-0.10027999395516873,0.5483870967741935,0.06018190415199798,0.36172166572604336,2.1770563213490806,0.9100000000000001,10
industry__score_volume_confirm__top20__rb10,industry,score_volume_confirm,20,10,10,483,0.11769398500765482,0.05977081420175678,0.3306160046405825,0.33702535628852953,-0.302525077717095,0.505175983436853,0.17183939229863743,-0.09741433710849878,-0.6003685356403133,0.9143347393847657,49,93,0.2486227157232639,0.8251456633279797,0.30849056451983586,2.1064419495046445,-0.1633697184800793,0.5806451612903226,0.022428170864180474,0.7941102839651397,2.714467648342007,0.8951414087203965,10
industry_concept__score_pullback_trend__top10__rb1,industry_concept,score_pullback_trend,10,1,1,483,0.11135114191777618,0.056628735704217226,0.35966545963132546,0.33105627231617996,-0.3289391476964715,0.5134575569358178,0.18784006684587706,-0.11228011953339223,-0.5428762253742535,0.6446313654077811,483,93,-0.09594374014970308,-0.23914163308092384,0.3615105934898528,-0.5709106090551548,-0.2451834051333498,0.5268817204301075,0.05468683869726565,-0.2781541811784759,-0.9419528999784569,0.6591281092467975,93
tradable_theme__score_breakout__top20__rb1,tradable_theme,score_breakout,20,1,1,483,0.10553135037297179,0.053738209787089986,0.3040296675320076,0.32249649056519,-0.23347287572581343,0.494824016563147,0.19005875999688016,-0.13294853201725765,-0.6466034420794113,0.4984825228706668,483,93,0.2599026357917791,0.8701690318748143,0.32523796473827515,2.0896299942846106,-0.1431599395319847,0.5913978494623656,0.06018190415199798,0.75454055520387,2.1758567864892555,0.5024752244860359,93
tradable_theme__score_volume_confirm__top20__rb10,tradable_theme,score_volume_confirm,20,10,10,483,0.09999784311049176,0.05098311624761309,0.3349990665445094,0.3125167301858753,-0.32256631833857907,0.5175983436853002,0.19005875999688016,-0.12218694992244727,-0.7349881523223297,0.9500519235762563,49,93,0.2190707291603986,0.7104507649940215,0.30341836928787086,1.9221645413668997,-0.14902091220388514,0.5483870967741935,0.06018190415199798,0.6228438142347621,2.530538493404262,0.9500000000000002,10
tradable_theme__score_low_vol_mom__top10__rb5,tradable_theme,score_low_vol_mom,10,5,5,483,0.09593548313105682,0.04895627475637254,0.265834026456573,0.3112107014609629,-0.2696845731175518,0.5113871635610766,0.19005875999688016,-0.14823125358684308,-0.6800521668731324,0.7488811226601316,97,93,0.002095941291214043,0.005689505432898478,0.2672572011942855,0.15554539957833843,-0.17971875139743876,0.5268817204301075,0.06018190415199798,-0.055565667884291625,-0.1856120184478261,0.7790681890389168,19
industry__score_breakout__top3__rb1,industry,score_breakout,3,1,1,483,0.08899529084941049,0.04548525939215464,0.36177328774521594,0.30225424277667606,-0.3197874532161522,0.4968944099378882,0.17183939229863743,-0.12838904076789748,-0.3124657827710125,0.6689985095557551,483,93,0.535425648870473,2.196096989820896,0.46061727391995544,2.7584836570969107,-0.1987654084790922,0.6021505376344086,0.022428170864180474,2.0996942280470985,2.781468444364551,0.7907713249495454,93
tradable_theme__score_breakout__top20__rb5,tradable_theme,score_breakout,20,5,5,483,0.09224522811336477,0.047111971544826936,0.2922613778213301,0.3018358952889361,-0.2704104623761979,0.5031055900621118,0.19005875999688016,-0.1384918683803411,-0.7718094869587241,0.750078798572356,97,93,0.1634592422254968,0.507177739676173,0.358854422100475,1.3250617349048912,-0.17983270551676245,0.5483870967741935,0.06018190415199798,0.4136158001555794,1.259291375392383,0.7358568093906017,19
industry_concept__score_risk_adj__top20__rb1,industry_concept,score_risk_adj,20,1,1,483,0.08978322843560216,0.045879863877854365,0.29190352967702854,0.2979826093262898,-0.25645829085632155,0.525879917184265,0.18784006684587706,-0.14014515563162666,-0.7195226962955396,0.41418750715672387,483,93,0.05082647274206753,0.14377889430072743,0.2590100833399886,0.6486241418036092,-0.14315327096161468,0.5483870967741935,0.05468683869726565,0.07684976573161983,0.46842758963856734,0.4238866346167804,93
