power,dead_zone,half_life,top_k,signal_mode,mean_rank_ic,rank_ic_ir,mean_long_short_5d,long_short_win_rate,early_2026_ic,late_2026_ic
1.5,0.0,2.0,10,binary,0.007012601795436613,0.05062271960200009,-0.003744714116641156,0.3888888888888889,-0.012049369659684606,0.0384087900744598
1.5,0.01,2.0,10,binary,0.007012601795436613,0.05062271960200009,-0.003744714116641156,0.3888888888888889,-0.012049369659684606,0.0384087900744598
1.0,0.01,2.0,20,tanh,0.006596164956888064,0.045762379669869284,-0.0018493345627974601,0.4444444444444444,-0.0083282012656844,0.031177474029360358
1.5,0.0,2.0,10,tanh,0.006563766770697726,0.04464746068159471,-0.0019337017082557916,0.4,-0.012386523333710316,0.037776009295605095
1.5,0.01,2.0,10,tanh,0.006563766770697726,0.04464746068159471,-0.0019337017082557916,0.4,-0.012386523333710316,0.037776009295605095
1.0,0.03,2.0,20,linear,0.006509792730695763,0.04487859766716091,-0.0012554724587181714,0.4444444444444444,-0.012231595425161586,0.0373779614579902
1.0,0.0,2.0,20,linear,0.00626634882035726,0.04292853487633874,-0.00151389890395466,0.4777777777777778,-0.008210257252693646,0.030110170587735213
1.5,0.03,2.0,10,linear,0.0059887095599190365,0.04010023919380108,-0.002153474326917465,0.4222222222222222,-0.012713067056156348,0.03679163575110203
1.0,0.01,2.0,20,linear,0.005660702980407157,0.038698484321062404,-0.0016455644099684576,0.4777777777777778,-0.008657632910728108,0.029243844448159365
1.5,0.0,2.0,10,linear,0.005528993886593459,0.03710296592623113,-0.0022872979292485863,0.4222222222222222,-0.012754522590865017,0.03564302102593685
1.5,0.01,2.0,10,linear,0.005528993886593459,0.03710296592623113,-0.0022872979292485863,0.4222222222222222,-0.012754522590865017,0.03564302102593685
1.0,0.03,2.0,10,binary,0.005256398043147544,0.03830654260694462,-0.004447231621754756,0.37777777777777777,-0.014695408678181107,0.03811819734886531
1.0,0.0,2.0,10,binary,0.004765795124093922,0.03479380261644159,-0.004378696639667429,0.37777777777777777,-0.014792690829652727,0.036979771989088396
1.0,0.01,2.0,10,binary,0.004765795124093922,0.03479380261644159,-0.004378696639667429,0.37777777777777777,-0.014792690829652727,0.036979771989088396
1.0,0.03,2.0,10,tanh,0.004525692731328204,0.031196334005799214,-0.0018798461151913783,0.4111111111111111,-0.015253951555029217,0.037103930379446315
1.0,0.0,2.0,10,tanh,0.004073701504511467,0.02813447948959948,-0.0018426916132803358,0.4111111111111111,-0.015305314500303301,0.03599208080655932
1.0,0.01,2.0,10,tanh,0.004073701504511467,0.02813447948959948,-0.0018426916132803358,0.4111111111111111,-0.015305314500303301,0.03599208080655932
1.0,0.03,2.0,10,linear,0.00341540546988339,0.023269696800407757,-0.0019224081955872988,0.4444444444444444,-0.015690706309359627,0.034884295459224834
